WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
610,Gorontalo,ID,0.5412,123.0595,84.51,79,93,2.64,overcast clouds
611,Mwense,ZM,-10.3845,28.698,64.9,98,100,3.76,overcast clouds
612,Portsmouth,GB,50.799,-1.0913,43.14,90,96,7.0,overcast clouds
613,San Ignacio,BZ,17.1561,-89.0714,73.54,88,75,4.61,broken clouds
614,Candelaria,PH,13.9311,121.4233,77.4,86,100,11.36,overcast clouds
615,Butterworth,MY,5.3991,100.3638,84.24,71,20,6.91,few clouds
616,Ordzhonikidze,KZ,52.4411,61.7408,4.53,88,89,8.21,overcast clouds
617,Tarakan,ID,3.3,117.6333,81.9,83,40,3.44,scattered clouds
618,Come,BJ,6.4076,1.882,77.79,85,97,6.15,overcast clouds
619,Grand Gaube,MU,-20.0064,57.6608,82.38,76,41,1.01,scattered clouds
620,Kholm-Zhirkovskiy,RU,55.5189,33.4731,29.14,93,100,13.15,overcast clouds
621,Honningsvag,NO,70.9821,25.9704,29.95,93,75,3.44,broken clouds
622,Farah,AF,32.5,62.5,45.27,48,100,3.38,overcast clouds
623,Waverly,US,42.7392,-84.6208,8.69,72,0,6.91,clear sky
624,Machali,CL,-34.1833,-70.6667,67.96,51,0,1.45,clear sky
625,Blatnica,BA,44.4864,17.8233,32.32,85,95,2.86,overcast clouds
626,Yashan,CN,22.1975,109.9419,69.39,51,32,6.51,scattered clouds
627,Zhanaozen,KZ,43.3,52.8,27.43,55,24,9.1,few clouds
628,Uglovka,RU,58.2392,33.5108,30.72,91,100,13.69,light snow
629,Senanga,ZM,-16.1167,23.2667,65.3,93,93,3.47,overcast clouds
630,Saint-Augustin,CA,51.226,-58.6502,7.36,91,100,2.75,overcast clouds
631,West Odessa,US,31.8424,-102.4988,24.82,89,100,10.36,mist
632,Aras,ES,42.5617,-2.356,36.75,80,0,13.8,clear sky
633,Carutapera,BR,-1.195,-46.02,73.54,96,100,3.06,overcast clouds
634,Erenhot,CN,43.6475,111.9767,19.44,47,0,24.63,clear sky
635,Berlevag,NO,70.8578,29.0864,30.15,86,40,10.36,light snow
636,Beian,NO,63.6559,9.5683,38.01,87,75,24.16,light rain
637,Santiago De Cao,PE,-7.9589,-79.2392,68.13,88,20,9.22,fog
638,Pisco,PE,-13.7,-76.2167,71.65,88,0,11.5,clear sky
639,Naze,JP,28.3667,129.4833,59.92,49,1,2.89,clear sky
640,Goianesia,BR,-15.3175,-49.1175,68.25,92,100,1.25,overcast clouds
641,Sheksna,RU,59.21,38.5107,30.16,92,100,14.18,overcast clouds
642,Huaicheng,CN,23.9051,112.1931,67.8,38,1,3.27,clear sky
643,Mawlaik,MM,23.6333,94.4167,81.95,38,0,1.61,clear sky
644,Dongsheng,CN,39.8161,109.9776,26.02,24,5,15.21,clear sky
645,San Juan,AR,-31.5375,-68.5364,84.83,40,0,7.38,clear sky
